type,model,size,inductance,dcr,staturation_current,temperature_rise_current
磁封胶功率电感,FNR6045S910MT,6.0*6.0*4.5,91uH,0.467Ω,1A,0.85A
磁封胶功率电感,FNR6045S101MT,6.0*6.0*4.5,100uH,0.563Ω,0.95A,0.8A
磁封胶功率电感,FNR6045S121MT,6.0*6.0*4.5,120uH,0.629Ω,0.85A,0.77A
磁封胶功率电感,FNR6045S151MT,6.0*6.0*4.5,150uH,0.754Ω,0.8A,0.7A
磁封胶功率电感,FNR6045S221MT,6.0*6.0*4.5,220uH,1.084Ω,0.7A,0.59A
磁封胶功率电感,FNR6045S331MT,6.0*6.0*4.5,330uH,1.651Ω,0.57A,0.57A
磁封胶功率电感,FNR6045S471MT,6.0*6.0*4.5,470uH,2.34Ω,0.5A,0.42A
磁封胶功率电感,FNR6045S681MT,6.0*6.0*4.5,680uH,3.25Ω,0.42A,0.33A
磁封胶功率电感,FNR6045S102MT,6.0*6.0*4.5,1000uH,5.85Ω,0.3A,0.3A
磁封胶功率电感,FNR6045S152MT,6.0*6.0*4.5,150uH,8.45Ω,0.24A,0.21A
磁封胶功率电感,FNR6045S222KT,6.0*6.0*4.5,2200uH,12.48Ω,0.2A,0.17A
磁封胶功率电感,FNR6045S332KT,6.0*6.0*4.5,3300uH,15.96Ω,0.17A,0.15A
磁封胶功率电感,FNR6045S472KT,6.0*6.0*4.5,4700uH,23.7Ω,0.15A,0.12A
磁封胶功率电感,FNR6045S682KT,6.0*6.0*4.5,680uH,40.2Ω,0.12A,0.09A
磁封胶功率电感,FNR6045S103KT,6.0*6.0*4.5,10000uH,46.68Ω,0.1A,0.08A
磁封胶功率电感,FNR6045S123KT,6.0*6.0*4.5,12000uH,74.4Ω,0.09A,0.07A
磁封胶功率电感,FNR6045S153KT,6.0*6.0*4.5,1500uH,84Ω,0.09A,0.06A
磁封胶功率电感,FNR8040SR82NT,8.0*8.0*4.2,0.82uH,0.01Ω,13.8A,6.3A
磁封胶功率电感,FNR8040S1R0NT,8.0*8.0*4.2,1.0uH,0.01Ω,9.85A,6.3A
磁封胶功率电感,FNR8040S1R2NT,8.0*8.0*4.2,1.2uH,0.013Ω,10A,5.65A
磁封胶功率电感,FNR8040S1R5NT,8.0*8.0*4.2,1.5uH,0.013Ω,8.15A,5.65A
磁封胶功率电感,FNR8040S2R0NT,8.0*8.0*4.2,2.0uH,0.016Ω,9.25A,5.15A
磁封胶功率电感,FNR8040S2R2NT,8.0*8.0*4.2,2.2uH,0.016Ω,7.1A,5.15A
磁封胶功率电感,FNR8040S3R0NT,8.0*8.0*4.2,3.0uH,0.018Ω,6.1A,4.7A
磁封胶功率电感,FNR8040S3R3NT,8.0*8.0*4.2,3.3uH,0.022Ω,6.5A,4.4A
磁封胶功率电感,FNR8040S3R6NT,8.0*8.0*4.2,3.6uH,0.022Ω,7.52A,4.35A
磁封胶功率电感,FNR8040S3R9NT,8.0*8.0*4.2,3.9uH,0.022Ω,5.75A,4.35A
磁封胶功率电感,FNR8040S4R7NT,8.0*8.0*4.2,4.7uH,0.025Ω,5.9A,4.1A
磁封胶功率电感,FNR8040S5R1NT,8.0*8.0*4.2,5.1uH,0.025Ω,4.7A,4.05A
磁封胶功率电感,FNR8040S5R6NT,8.0*8.0*4.2,5.6uH,0.027Ω,6A,3.85A
磁封胶功率电感,FNR8040S6R2NT,8.0*8.0*4.2,6.2uH,0.027Ω,4.45A,3.85A
磁封胶功率电感,FNR8040S6R8MT,8.0*8.0*4.2,6.8uH,0.031Ω,4.55A,3.6A
磁封胶功率电感,FNR8040S8R2MT,8.0*8.0*4.2,8.2uH,0.034Ω,4.2A,3.45A
磁封胶功率电感,FNR8040S100MT,8.0*8.0*4.2,10uH,0.038Ω,3.6A,3.3A
磁封胶功率电感,FNR8040S120MT,8.0*8.0*4.2,12uH,0.053Ω,3.5A,2.8A
磁封胶功率电感,FNR8040S150MT,8.0*8.0*4.2,15uH,0.061Ω,2.95A,2.6A
磁封胶功率电感,FNR8040S180MT,8.0*8.0*4.2,18uH,0.069Ω,2.7A,2.4A
磁封胶功率电感,FNR8040S220MT,8.0*8.0*4.2,22uH,0.09Ω,2.4A,2.1A
磁封胶功率电感,FNR8040S270MT,8.0*8.0*4.2,27uH,0.101Ω,2.15A,2A
磁封胶功率电感,FNR8040S330MT,8.0*8.0*4.2,33uH,0.126Ω,2.05A,1.8A
磁封胶功率电感,FNR8040S360MT,8.0*8.0*4.2,36uH,0.133Ω,2A,1.75A
磁封胶功率电感,FNR8040S390MT,8.0*8.0*4.2,39uH,0.139Ω,1.95A,1.7A
磁封胶功率电感,FNR8040S430MT,8.0*8.0*4.2,43uH,0.147Ω,1.9A,1.65A
磁封胶功率电感,FNR8040S470MT,8.0*8.0*4.2,47uH,0.177Ω,1.75A,1.55A
磁封胶功率电感,FNR8040S510MT,8.0*8.0*4.2,51uH,0.185Ω,1.7A,1.5A
磁封胶功率电感,FNR8040S620MT,8.0*8.0*4.2,62uH,0.237Ω,1.5A,1.3A
磁封胶功率电感,FNR8040S680MT,8.0*8.0*4.2,68uH,0.255Ω,1.45A,1.25A
磁封胶功率电感,FNR8040S750MT,8.0*8.0*4.2,75uH,0.274Ω,1.35A,1.2A
磁封胶功率电感,FNR8040S820MT,8.0*8.0*4.2,82uH,0.293Ω,1.3A,1.15A
磁封胶功率电感,FNR8040S910MT,8.0*8.0*4.2,91uH,0.354Ω,1.2A,1.05A
磁封胶功率电感,FNR8040S101MT,8.0*8.0*4.2,100uH,0.377Ω,1.15A,1A
磁封胶功率电感,FNR8040S121MT,8.0*8.0*4.2,120uH,0.434Ω,1.05A,0.95A
磁封胶功率电感,FNR8040S151MT,8.0*8.0*4.2,150uH,0.533Ω,1.1A,0.85A
磁封胶功率电感,FNR8040S181MT,8.0*8.0*4.2,180uH,0.676Ω,0.95A,0.83A
磁封胶功率电感,FNR8040S221MT,8.0*8.0*4.2,220uH,0.779Ω,0.85A,0.8A
磁封胶功率电感,FNR8040S331MT,8.0*8.0*4.2,330uH,1.156Ω,0.68A,0.64A
磁封胶功率电感,FNR8040S471MT,8.0*8.0*4.2,470uH,1.625Ω,0.6A,0.5A
磁封胶功率电感,FNR8040S681MT,8.0*8.0*4.2,680uH,2.652Ω,0.5A,0.45A
磁封胶功率电感,FNR8040S102MT,8.0*8.0*4.2,1000uH,3.64Ω,0.4A,0.35A
磁封胶功率电感,FNR8040S152MT,8.0*8.0*4.2,1500uH,6.5Ω,0.32A,0.26A
磁封胶功率电感,FNR8050S102MT,8.0*8.0*5.0,100uH,2.52Ω,0.32A,0.33A
磁封胶功率电感,FNR8050S103MT,8.0*8.0*5.0,10000uH,22.8Ω,0.09A,0.11A
磁封胶功率电感,FNR8065S1R0MT,8.0*8.0*6.5,1.0uH,0.011Ω,20A,7A
磁封胶功率电感,FNR8065S3R3MT,8.0*8.0*6.5,3.3uH,0.018Ω,9.5A,5.1A
磁封胶功率电感,FNR8065S4R7MT,8.0*8.0*6.5,4.7uH,0.022Ω,8.5A,4.7A
磁封胶功率电感,FNR8065S5R6MT,8.0*8.0*6.5,5.6uH,0.026Ω,8A,4.5A
磁封胶功率电感,FNR8065S6R8MT,8.0*8.0*6.5,6.8uH,0.026Ω,7.5A,4.5A
磁封胶功率电感,FNR8065S8R2MT,8.0*8.0*6.5,8.2uH,0.031Ω,7A,4.2A
磁封胶功率电感,FNR8065S100MT,8.0*8.0*6.5,10uH,0.044Ω,8A,3.2A
磁封胶功率电感,FNR8065S220MT,8.0*8.0*6.5,22uH,0.065Ω,4.3A,2.85A
磁封胶功率电感,FNR8065S431MT,8.0*8.0*6.5,430uH,1.2Ω,0.95A,0.61A
磁封胶功率电感,FNR8065S102MT,8.0*8.0*6.5,1000uH,2.82Ω,0.65A,0.4A
磁封胶功率电感,FNR8065S152MT,8.0*8.0*6.5,1500uH,4.38Ω,0.54A,0.32A
磁封胶功率电感,FNR8065S222MT,8.0*8.0*6.5,2200uH,6Ω,0.45A,0.27A
磁封胶功率电感,FNR8065S332MT,8.0*8.0*6.5,3300uH,8.76Ω,0.36A,0.23A
一体成型电感,FXL0412-R15-M,4.2*4.4*1.0,0.15uH,0.009Ω,15A,7.5A
一体成型电感,FXL0412-R22-M,4.2*4.4*1.0,0.22uH,0.011Ω,11A,7A
一体成型电感,FXL0412-R33-M,4.2*4.4*1.0,0.33uH,0.019Ω,8.4A,6.5A
一体成型电感,FXL0412-R47-M,4.2*4.4*1.0,0.47uH,0.021Ω,6.8A,6A
一体成型电感,FXL0412-R68-M,4.2*4.4*1.0,0.68uH,0.036Ω,6A,4.7A
一体成型电感,FXL0412-1R0-M,4.2*4.4*1.0,1.0uH,0.047Ω,5.5A,4.5A
一体成型电感,FXL0412-1R5-M,4.2*4.4*1.0,1.5uH,0.075Ω,4A,3.25A
一体成型电感,FXL0412-2R2-M,4.2*4.4*1.0,2.2uH,0.0835Ω,3.5A,2.75A
一体成型电感,FXL0412-4R7-M,4.2*4.4*1.0,4.7uH,0.195Ω,2.8A,1.8A
一体成型电感,FXL0420-R10-M,4.2*4.4*1.8,0.1uH,0.004Ω,22A,13A
一体成型电感,FXL0420-R22-M,4.2*4.4*1.8,0.22uH,0.0066Ω,12.5A,9.5A
一体成型电感,FXL0420-R33-M,4.2*4.4*1.8,0.33uH,0.011Ω,12A,10A
一体成型电感,FXL0420-R47-M,4.2*4.4*1.8,0.47uH,0.014Ω,9.5A,7.5A
一体成型电感,FXL0420-R56-M,4.2*4.4*1.8,0.56uH,0.016Ω,10A,7A
一体成型电感,FXL0420-R68-M,4.2*4.4*1.8,0.68uH,0.018Ω,9A,7A
一体成型电感,FXL0420-1R0-M,4.2*4.4*1.8,1.0uH,0.027Ω,7A,6A
一体成型电感,FXL0420-1R2-M,4.2*4.4*1.8,1.2uH,0.027Ω,7A,6A
一体成型电感,FXL0420-1R5-M,4.2*4.4*1.8,1.5uH,0.046Ω,6A,5A
一体成型电感,FXL0420-2R2-M,4.2*4.4*1.8,2.2uH,0.058Ω,5A,4.5A
一体成型电感,FXL0420-3R3-M,4.2*4.4*1.8,3.3uH,0.087Ω,4A,3.3A
一体成型电感,FXL0420-4R7-M,4.2*4.4*1.8,4.7uH,0.105Ω,3A,2.8A
一体成型电感,FXL0420-6R8-M,4.2*4.4*1.8,6.8uH,0.175Ω,2.5A,2.4A
一体成型电感,FXL0420-100-M,4.2*4.4*1.8,10uH,0.282Ω,2.2A,1.6A
一体成型电感,FXL0518-R47-M,5.2*5.4*1.6,0.47uH,0.009Ω,15.5A,10.5A
一体成型电感,FXL0518-R56-M,5.2*5.4*1.6,0.56uH,0.010Ω,15A,9.5A
一体成型电感,FXL0518-1R0-M,5.2*5.4*1.6,1.0uH,0.017Ω,9A,8A
一体成型电感,FXL0518-1R5-M,5.2*5.4*1.6,1.5uH,0.026Ω,9A,7.5A
一体成型电感,FXL0518-2R2-M,5.2*5.4*1.6,2.2uH,0.035Ω,6.5A,5A
一体成型电感,FXL0518-3R3-M,5.2*5.4*1.6,3.3uH,0.058Ω,5A,4.5A
一体成型电感,FXL0518-4R7-M,5.2*5.4*1.6,4.7uH,0.085Ω,4A,3.5A
一体成型电感,FXL0518-6R8-M,5.2*5.4*1.6,6.8uH,0.120Ω,3.4A,2.8A
一体成型电感,FXL0518-100-M,5.2*5.4*1.6,10uH,0.155Ω,3A,2.5A
一体成型电感,FXL0530-R10-M,5.2*5.4*2.8,0.1uH,0.003Ω,33A,25A
一体成型电感,FXL0530-R20-M,5.2*5.4*2.8,0.2uH,0.039Ω,14.5A,14A
一体成型电感,FXL0530-R47-M,5.2*5.4*2.8,0.47uH,0.085Ω,12A,11A
一体成型电感,FXL0530-R68-M,5.2*5.4*2.8,0.68uH,0.012Ω,11.5A,9A
一体成型电感,FXL0530-1R0-M,5.2*5.4*2.8,1.0uH,0.014Ω,11A,8.5A
一体成型电感,FXL0530-1R2-M,5.2*5.4*2.8,1.2uH,0.016Ω,11A,8.5A
一体成型电感,FXL0530-1R5-M,5.2*5.4*2.8,1.5uH,0.025Ω,8.5A,8.2A
一体成型电感,FXL0530-2R2-M,5.2*5.4*2.8,2.2uH,0.029Ω,7.5A,7A
一体成型电感,FXL0530-3R3-M,5.2*5.4*2.8,3.3uH,0.038Ω,6A,5.5A
一体成型电感,FXL0530-4R7-M,5.2*5.4*2.8,4.7uH,0.060Ω,5A,4.5A
一体成型电感,FXL0530-6R8-M,5.2*5.4*2.8,6.8uH,0.090Ω,4A,3.5A
一体成型电感,FXL0530-100-M,5.2*5.4*2.8,10uH,0.125Ω,3.5A,3.2A
一体成型电感,FXL0618-R47-M,6.6*7.0*1.6,0.47uH,0.0084Ω,18A,11.5A
一体成型电感,FXL0618-R68-M,6.6*7.0*1.6,0.68uH,0.012Ω,17A,9.5A
一体成型电感,FXL0618-1R0-M,6.6*7.0*1.6,1.0uH,0.016Ω,14A,8.5A
一体成型电感,FXL0618-1R5-M,6.6*7.0*1.6,1.5uH,0.026Ω,12A,8A
一体成型电感,FXL0618-2R2-M,6.6*7.0*1.6,2.2uH,0.035Ω,8A,7A
一体成型电感,FXL0618-3R3-M,6.6*7.0*1.6,3.3uH,0.050Ω,6.5A,4.5A
一体成型电感,FXL0618-4R7-M,6.6*7.0*1.6,4.7uH,0.062Ω,5A,4A
一体成型电感,FXL0618-6R8-M,6.6*7.0*1.6,6.8uH,0.110Ω,4.5A,3A
一体成型电感,FXL0624-R22-M,6.6*7.0*2.2,0.22uH,0.003Ω,34A,21A
一体成型电感,FXL0624-R33-M,6.6*7.0*2.2,0.33uH,0.0041Ω,24.5A,18A
一体成型电感,FXL0624-R47-M,6.6*7.0*2.2,0.47uH,0.0051Ω,22A,15A
一体成型电感,FXL0624-R56-M,6.6*7.0*2.2,0.56uH,0.0065Ω,17A,13A
一体成型电感,FXL0624-R68-M,6.6*7.0*2.2,0.68uH,0.007Ω,16A,12A
一体成型电感,FXL0624-1R0-M,6.6*7.0*2.2,1.0uH,0.0135Ω,16A,9A
一体成型电感,FXL0624-1R5-M,6.6*7.0*2.2,1.5uH,0.020Ω,15A,9A
一体成型电感,FXL0624-2R2-M,6.6*7.0*2.2,2.2uH,0.028Ω,14A,7A
一体成型电感,FXL0624-3R3-M,6.6*7.0*2.2,3.3uH,0.039Ω,10A,5.5A
一体成型电感,FXL0624-4R7-M,6.6*7.0*2.2,4.7uH,0.050Ω,7.5A,5A
一体成型电感,FXL0624-6R8-M,6.6*7.0*2.2,6.8uH,0.070Ω,6A,4A
一体成型电感,FXL0624-100-M,6.6*7.0*2.2,10uH,0.101Ω,4A,3.1A
一体成型电感,FXL0624-150-M,6.6*7.0*2.2,15uH,0.16Ω,3.3A,2.5A
一体成型电感,FXL0630-R22-M,6.6*7.0*2.8,0.22uH,0.003Ω,34A,24A
一体成型电感,FXL0630-R24-M,6.6*7.0*2.8,0.24uH,0.0031Ω,26A,23A
一体成型电感,FXL0630-R33-M,6.6*7.0*2.8,0.33uH,0.0035Ω,25A,21A
一体成型电感,FXL0630-R47-M,6.6*7.0*2.8,0.47uH,0.0041Ω,20A,18A
一体成型电感,FXL0630-R56-M,6.6*7.0*2.8,0.56uH,0.0045Ω,18A,16.5A
一体成型电感,FXL0630-R68-M,6.6*7.0*2.8,0.68uH,0.0053Ω,17A,16A
一体成型电感,FXL0630-R82-M,6.6*7.0*2.8,0.82uH,0.006Ω,16A,14A
一体成型电感,FXL0630-1R0-M,6.6*7.0*2.8,1.0uH,0.0074Ω,15A,12A
一体成型电感,FXL0630-1R5-M,6.6*7.0*2.8,1.5uH,0.0121Ω,14A,12A
一体成型电感,FXL0630-2R2-M,6.6*7.0*2.8,2.2uH,0.015Ω,10A,9.5A
一体成型电感,FXL0630-3R3-M,6.6*7.0*2.8,3.3uH,0.022Ω,9.5A,8.5A
一体成型电感,FXL0630-4R7-M,6.6*7.0*2.8,4.7uH,0.033Ω,6.5A,6A
一体成型电感,FXL0630-6R8-M,6.6*7.0*2.8,6.8uH,0.048Ω,6A,5A
一体成型电感,FXL0630-8R2-M,6.6*7.0*2.8,8.2uH,0.060Ω,6A,5A
一体成型电感,FXL0630-100-M,6.6*7.0*2.8,10uH,0.067Ω,5.5A,4.5A
一体成型电感,FXL0630-150-M,6.6*7.0*2.8,15uH,0.115Ω,4.5A,3A
一体成型电感,FXL0630-220-M,6.6*7.0*2.8,22uH,0.2Ω,3A,2.3A
一体成型电感,FXL0630-330-M,6.6*7.0*2.8,33uH,0.310Ω,2.5A,2A
一体成型电感,FXL0650-R47-M,6.6*7.0*4.8,0.47uH,0.0039Ω,21A,20A
一体成型电感,FXL0650-R68-M,6.6*7.0*4.8,0.68uH,0.0045Ω,18A,16.5A
一体成型电感,FXL0650-1R0-M,6.6*7.0*4.8,1.0uH,0.0066Ω,16A,12A
一体成型电感,FXL0650-1R5-M,6.6*7.0*4.8,1.5uH,0.010Ω,13A,9.5A
一体成型电感,FXL0650-2R2-M,6.6*7.0*4.8,2.2uH,0.0125Ω,11A,9A
一体成型电感,FXL0650-3R3-M,6.6*7.0*4.8,3.3uH,0.022Ω,10A,8.5A
一体成型电感,FXL0650-4R7-M,6.6*7.0*4.8,4.7uH,0.029Ω,8A,6A
一体成型电感,FXL0650-6R8-M,6.6*7.0*4.8,6.8uH,0.041Ω,6.3A,5.8A
一体成型电感,FXL0650-8R2-M,6.6*7.0*4.8,8.2uH,0.048Ω,5.5A,5.5A
一体成型电感,FXL0650-100-M,6.6*7.0*4.8,10uH,0.060Ω,5.3A,4.5A
一体成型电感,FXL0650-150-M,6.6*7.0*4.8,15uH,0.090Ω,4A,3.1A
一体成型电感,FXL0650-220-M,6.6*7.0*4.8,22uH,0.0140Ω,3.5A,2.6A
一体成型电感,FXL0650-330-M,6.6*7.0*4.8,33uH,0.0190Ω,3A,2.3A
一体成型电感,FXL0650-470-M,6.6*7.0*4.8,47uH,0.0230Ω,2.6A,2A
一体成型电感,FXL1040-R15-M,10*11.5*3.8,0.15uH,0.00065Ω,75A,45A
一体成型电感,FXL1040-R22-M,10*11.5*3.8,0.22uH,0.001Ω,60A,35A
一体成型电感,FXL1040-R30-M,10*11.5*3.8,0.3uH,0.0011Ω,50A,35A
一体成型电感,FXL1040-R36-M,10*11.5*3.8,0.36uH,0.0012Ω,50A,30A
一体成型电感,FXL1040-R47-M,10*11.5*3.8,0.47uH,0.0017Ω,40A,30A
一体成型电感,FXL1040-R56-M,10*11.5*3.8,0.56uH,0.0018Ω,33A,25A
一体成型电感,FXL1040-R68-M,10*11.5*3.8,0.68uH,0.0024Ω,30A,23A
一体成型电感,FXL1040-R80-M,10*11.5*3.8,0.8uH,0.0027Ω,29A,23A
一体成型电感,FXL1040-1R0-M,10*11.5*3.8,1.0uH,0.0033Ω,28A,19A
一体成型电感,FXL1040-1R5-M,10*11.5*3.8,1.5uH,0.0042Ω,26A,16A
一体成型电感,FXL1040-2R2-M,10*11.5*3.8,2.2uH,0.007Ω,18A,12A
一体成型电感,FXL1040-3R3-M,10*11.5*3.8,3.3uH,0.0118Ω,16A,11A
一体成型电感,FXL1040-4R7-M,10*11.5*3.8,4.7uH,0.020Ω,15A,9A
一体成型电感,FXL1040-6R8-M,10*11.5*3.8,6.8uH,0.025Ω,12A,8.5A
一体成型电感,FXL1040-8R2-M,10*11.5*3.8,8.2uH,0.027Ω,9A,8A
一体成型电感,FXL1040-100-M,10*11.5*3.8,10uH,0.030Ω,8.5A,7.8A
一体成型电感,FXL1040-150-M,10*11.5*3.8,15uH,0.045Ω,7A,6.5A
一体成型电感,FXL1040-220-M,10*11.5*3.8,22uH,0.066Ω,5.5A,5A
一体成型电感,FXL1040-330-M,10*11.5*3.8,33uH,0.092Ω,5A,4.4A
一体成型电感,FXL1040-470-M,10*11.5*3.8,47uH,0.145Ω,3.5A,3.3A
一体成型电感,FXL1040-680-M,10*11.5*3.8,68uH,0.195Ω,3A,2.5A
一体成型电感,FXL1350-R22-M,12.6*13.45*4.8,0.22uH,0.0007Ω,75A,50A
一体成型电感,FXL1350-R36-M,12.6*13.45*4.8,0.36uH,0.00085Ω,50A,42A
一体成型电感,FXL1350-R50-M,12.6*13.45*4.8,0.5uH,0.00115Ω,48A,38A
一体成型电感,FXL1350-R68-M,12.6*13.45*4.8,0.68uH,0.00155Ω,46A,33A
一体成型电感,FXL1350-R82-M,12.6*13.45*4.8,0.82uH,0.00167Ω,39A,30A
一体成型电感,FXL1350-1R0-M,12.6*13.45*4.8,1.0uH,0.0022Ω,35A,26A
一体成型电感,FXL1350-1R5-M,12.6*13.45*4.8,1.5uH,0.0032Ω,33A,23A
一体成型电感,FXL1350-2R2-M,12.6*13.45*4.8,2.2uH,0.005Ω,24A,15A
一体成型电感,FXL1350-3R3-M,12.6*13.45*4.8,3.3uH,0.007Ω,22A,14A
一体成型电感,FXL1350-4R7-M,12.6*13.45*4.8,4.7uH,0.009Ω,21A,13A
一体成型电感,FXL1350-6R8-M,12.6*13.45*4.8,6.8uH,0.018Ω,16A,12A
一体成型电感,FXL1350-100-M,12.6*13.45*4.8,10uH,0.022Ω,12A,9A
一体成型电感,FXL1350-220-M,12.6*13.45*4.8,22uH,0.058Ω,6.5A,4.5A
一体成型电感,FXL1350-330-M,12.6*13.45*4.8,33uH,0.084Ω,6A,3.5A
一体成型电感,FXL1350-470-M,12.6*13.45*4.8,47uH,0.13Ω,5A,3A
一体成型电感,FXL1360-4R7-M,12.6*13.45*5.8,4.7uH,0.009Ω,24A,20A
一体成型电感,FXL1360-5R6-M,12.6*13.45*5.8,5.6uH,0.011Ω,22.5A,18A
一体成型电感,FXL1360-8R2-M,12.6*13.45*5.8,8.2uH,0.016Ω,13.5A,11A
一体成型电感,FXL1360-100-M,12.6*13.45*5.8,10uH,0.0207Ω,12.5A,10A
一体成型电感,FXL1360-120-M,12.6*13.45*5.8,12uH,0.023Ω,10A,7A
一体成型电感,FXL1360-150-M,12.6*13.45*5.8,15uH,0.029Ω,9A,6A
一体成型电感,FXL1360-180-M,12.6*13.45*5.8,18uH,0.035Ω,8A,5A
一体成型电感,FXL1360-220-M,12.6*13.45*5.8,22uH,0.0395Ω,7.5A,5A
一体成型电感,FXL1360-270-M,12.6*13.45*5.8,27uH,0.056Ω,6.5A,4A
一体成型电感,FXL1360-330-M,12.6*13.45*5.8,33uH,0.075Ω,6A,4A
一体成型电感,FXL1360-470-M,12.6*13.45*5.8,47uH,0.090Ω,5.5A,3.5A
一体成型电感,FXL1360-680-M,12.6*13.45*5.8,68uH,0.14Ω,4.5A,3A
一体成型电感,FXL1360-101-M,12.6*13.45*5.8,100uH,0.2Ω,3.5A,2.5A
一体成型电感,FXL1360-121-M,12.6*13.45*5.8,120uH,0.235Ω,3.2A,2.3A
一体成型电感,FXL1360-151-M,12.6*13.45*5.8,150uH,0.35Ω,2.7A,2A
一体成型电感,FXL1770-2R2-M,17.15*17.15*7.0,2.2uH,0.0025Ω,34A,29A
一体成型电感,FXL1770-3R3-M,17.15*17.15*7.0,3.3uH,0.00395Ω,30A,24A
一体成型电感,FXL1770-4R7-M,17.15*17.15*7.0,4.7uH,0.00475Ω,24A,21A
一体成型电感,FXL1770-6R8-M,17.15*17.15*7.0,6.8uH,0.0075Ω,22A,17A
一体成型电感,FXL1770-8R2-M,17.15*17.15*7.0,8.2uH,0.0087Ω,20A,13A
一体成型电感,FXL1770-100-M,17.15*17.15*7.0,10uH,0.0099Ω,19A,12A
一体成型电感,FXL1770-150-M,17.15*17.15*7.0,15uH,0.017Ω,14.5A,11A
一体成型电感,FXL1770-220-M,17.15*17.15*7.0,22uH,0.023Ω,11.5A,8.5A
一体成型电感,FXL1770-330-M,17.15*17.15*7.0,33uH,0.037Ω,10A,8A
一体成型电感,FXL1770-470-M,17.15*17.15*7.0,47uH,0.047Ω,7.5A,6A
一体成型电感,FXL1770-680-M,17.15*17.15*7.0,68uH,0.085Ω,6.5A,5.2A
一体成型电感,FXLA0420-R10M,4.2*4.4*1.8,0.1uH,0.004Ω,13A,22A
一体成型电感,FXLA0420-R22M,4.2*4.4*1.8,0.22uH,0.0066Ω,9.5A,12.5A
一体成型电感,FXLA0420-R47M,4.2*4.4*1.8,0.47uH,0.014Ω,7.5A,9.5A
一体成型电感,FXLA0420-R56M,4.2*4.4*1.8,0.56uH,0.016Ω,7A,10A
一体成型电感,FXLA0420-R68M,4.2*4.4*1.8,0.68uH,0.018Ω,7A,9A
一体成型电感,FXLA0420-1R0M,4.2*4.4*1.8,1.0uH,0.025Ω,6A,7A
一体成型电感,FXLA0420-1R2M,4.2*4.4*1.8,1.2uH,0.027Ω,6A,7A
一体成型电感,FXLA0420-1R5M,4.2*4.4*1.8,1.5uH,0.040Ω,5A,6A
一体成型电感,FXLA0420-2R2M,4.2*4.4*1.8,2.2uH,0.050Ω,4.5A,5A
一体成型电感,FXLA0420-3R3M,4.2*4.4*1.8,3.3uH,0.075Ω,3.3A,4A
一体成型电感,FXLA0420-4R7M,4.2*4.4*1.8,4.7uH,0.105Ω,2.8A,3A
一体成型电感,FXLA0420-6R8M,4.2*4.4*1.8,6.8uH,0.175Ω,2.4A,2.5A
一体成型电感,FXLA0420-100M,4.2*4.4*1.8,10uH,0.23Ω,1.6A,2.2A
一体成型电感,FXLA0420-220M,4.2*4.4*1.8,22uH,0.363Ω,1.2A,1.65A
一体成型电感,FXLA0518-R47M,5.2*5.4*1.6,0.47uH,0.009Ω,10.5A,15.5A
一体成型电感,FXLA0518-R56M,5.2*5.4*1.6,0.56uH,0.010Ω,9.5A,15A
一体成型电感,FXLA0518-1R0M,5.2*5.4*1.6,1.0uH,0.017Ω,8A,9A
一体成型电感,FXLA0518-1R5M,5.2*5.4*1.6,1.5uH,0.026Ω,7.5A,9A
一体成型电感,FXLA0518-2R2M,5.2*5.4*1.6,2.2uH,0.035Ω,5A,6.5A
一体成型电感,FXLA0518-3R3M,5.2*5.4*1.6,3.3uH,0.058Ω,4.5A,5A
一体成型电感,FXLA0518-4R7M,5.2*5.4*1.6,4.7uH,0.085Ω,3.5A,4A
一体成型电感,FXLA0518-6R8M,5.2*5.4*1.6,6.8uH,0.120Ω,2.8A,3.4A
一体成型电感,FXLA0518-100M,5.2*5.4*1.6,10uH,0.155Ω,2.5A,3A
一体成型电感,FXLA0530-R10M,5.2*5.4*2.8,0.1uH,0.003Ω,25A,33A
一体成型电感,FXLA0530-R20M,5.2*5.4*2.8,0.2uH,0.0039Ω,14A,14.5A
一体成型电感,FXLA0530-R33M,5.2*5.4*2.8,0.33uH,0.0055Ω,14A,18A
一体成型电感,FXLA0530-R35M,5.2*5.4*2.8,0.35uH,0.0055Ω,14A,18A
一体成型电感,FXLA0530-R47M,5.2*5.4*2.8,0.47uH,0.0085Ω,11A,12A
一体成型电感,FXLA0530-R68M,5.2*5.4*2.8,0.68uH,0.012Ω,9A,11.5A
一体成型电感,FXLA0530-1R0M,5.2*5.4*2.8,1.0uH,0.014Ω,8.5A,11A
一体成型电感,FXLA0530-1R2M,5.2*5.4*2.8,1.2uH,0.016Ω,8.5A,11A
一体成型电感,FXLA0530-1R5M,5.2*5.4*2.8,1.5uH,0.025Ω,8.2A,8.5A
一体成型电感,FXLA0530-2R2M,5.2*5.4*2.8,2.2uH,0.029Ω,7A,7.5A
一体成型电感,FXLA0530-3R3M,5.2*5.4*2.8,3.3uH,0.038Ω,5.5A,6A
一体成型电感,FXLA0530-4R7M,5.2*5.4*2.8,4.7uH,0.060Ω,4.5A,5A
一体成型电感,FXLA0530-6R8M,5.2*5.4*2.8,6.8uH,0.090Ω,3.5A,4A
一体成型电感,FXLA0530-100M,5.2*5.4*2.8,10uH,0.125Ω,3.2A,3.5A
一体成型电感,FXLA0630-R10M,6.6*7.0*2.8,0.1uH,0.0012Ω,32A,56A
